,url,personas,in_db,derivada
34,/obra78212-lorca-el-teatro-bajo-la-arena,"/persona100888-mariano-llinas, /persona679-laura-paredes, /persona6138-manuel-attwell, /persona8739-claudia-cantero, /persona326695-agustin-gagliardi, /persona18701-nico-levin, /persona97-maria-ines-sancerni, /persona15986-julieta-harca, /persona7164-rodrigo-gonzalez-garillo, /persona669-matias-sendon, /persona369253-estudio-levin, /persona92901-sofia-palomino, /persona48488-mariana-mitre, /persona34700-constanza-feldman, /persona34700-constanza-feldman, /persona679-laura-paredes, /persona21943-gabriel-chwojnik",False,False
35,/obra74405-habitacion-macbeth,"/persona3532-pompeyo-audivert, /persona3542-claudio-pena, /persona16192-marta-davico, /persona17155-monica-goizueta, /persona167718-lucia-rabey, /persona40904-horacio-novelle, /persona86427-federico-gianni, /persona334391-bernabe-rivarola, /persona339920-centro-cultural-de-la-cooperacion, /persona31032-claudio-medin, /persona382314-ana-heilpern, /persona16192-marta-davico, /persona17155-monica-goizueta, /persona1004-daniel-franco, /persona16192-marta-davico, /persona17155-monica-goizueta, /persona3532-pompeyo-audivert, /persona439852-fernando-becerra, /persona11590-veronica-costa, /persona439851-andres-gerardi, /persona411870-jose-glusman, /persona364117-santiago-martinelli-massa",False,False
36,/obra77246-el-hombre-de-acero,"/persona33210-juan-francisco-dasso, /persona9749-marcos-montes, /persona9504-cecilia-zuvialde, /persona9504-cecilia-zuvialde, /persona1655-ricardo-sica, /persona9417-christian-inglize, /persona279985-laura-mastroscello, /persona148254-luisina-jacinto, /persona373476-ana-schimelman, /persona25817-carolina-alfonso, /persona56294-zoilo-garces, /persona33210-juan-francisco-dasso",False,False
37,/obra70784-de-la-mejor-manera,"/persona40448-jorge-eiro, /persona26866-federico-liss, /persona445523-david-rubisntein, /persona26866-federico-liss, /persona10446-david-rubinstein, /persona212538-manuela-sanchez-almeyra, /persona1655-ricardo-sica, /persona324169-ana-clara-barboza, /persona56294-zoilo-garces, /persona40448-jorge-eiro, /persona26866-federico-liss, /persona10446-david-rubinstein",False,False
38,/obra27007-othelo,"/persona1159-william-shakespeare, /persona20227-gabriel-chame-buendia, /persona9738-matias-bassi, /persona340217-nicolas-gentile, /persona17332-elvira-gomez, /persona220952-agustin-soler, /persona20227-gabriel-chame-buendia, /persona1059-jorge-pastorino, /persona1059-jorge-pastorino, /persona111583-sebastian-furman, /persona59834-juan-gabriel-yacar, /persona4841-gianni-mestichelli, /persona9738-matias-bassi, /persona53663-agostina-bruzzone, /persona292564-paula-cecilia-ceresole, /persona17412-cecilia-stanovnik, /persona19393-micaela-farina, /persona249928-ariel-dabbah, /persona23231-justina-grande, /persona147849-marcos-mutuverria, /persona59834-juan-gabriel-yacar, /persona239346-buendia-theatre, /persona20227-gabriel-chame-buendia",False,False
39,/obra71003-erase,"/persona1636-monica-cabrera, /persona273485-marcos-krivocapich, /persona282-gustavo-tarrio, /persona1636-monica-cabrera, /persona273485-marcos-krivocapich, /persona18701-nico-levin, /persona111490-carolina-saade, /persona445496-donna-tefa-sanguinetti, /persona106236-denisse-van-der-ploeg, /persona277072-gustavo-di-sarro, /persona426222-cecilia-laratro, /persona5048-paola-delgado, /persona16158-fernando-berreta, /persona230183-pablo-viotti, /persona71221-henser-molina, /persona41470-mariano-sigal, /persona301269-juanse-rausch, /persona301269-juanse-rausch, /persona282-gustavo-tarrio",False,False
40,/obra59413-la-vida-extraordinaria,"/persona59104-mariano-tenconi-blanco, /persona1277-valeria-lois, /persona23161-lorena-vega, /persona40374-cecilia-roth, /persona217768-blas-lamagni, /persona17154-magda-banach, /persona852-ariel-vaccaro, /persona669-matias-sendon, /persona365367-agustina-luque, /persona365367-agustina-luque, /persona252562-agustina-san-martin, /persona19175-elena-buchbinder, /persona144441-ian-shifres, /persona252562-agustina-san-martin, /persona144441-ian-shifres, /persona19598-sofia-etcheverry, /persona373476-ana-schimelman, /persona5297-carolina-castro, /persona344713-compania-teatro-futuro, /persona64262-jazmin-titiunik, /persona144441-ian-shifres, /persona59104-mariano-tenconi-blanco",False,False
41,/obra78692-una-y-mil,"/persona120845-jimena-del-pozo-penalva, /persona3149-sebastian-sune, /persona170528-viviana-bovino, /persona120845-jimena-del-pozo-penalva, /persona459353-rebe, /persona58787-lucia-aduriz, /persona403429-nina-brugo, /persona453393-sara-cordoba, /persona19153-karina-hernandez, /persona13559-sabrina-lara, /persona459351-nashy-nashai, /persona175594-camila-peralta, /persona459350-la-pichi, /persona459349-atiana-ramoa, /persona50866-cecilia-rodriguez, /persona459352-nicole-vazquez, /persona201276-rodrigo-arena, /persona66917-marisol-castaneda, /persona83348-gonzalo-cordoba-estevez, /persona112702-rocio-caliri, /persona194342-lucia-feijoo, /persona459357-juan-zuluaga, /persona29644-gonzalo-quintana, /persona38282-mariela-perticari, /persona459356-julieta-colazo, /persona19151-sergio-calvo, /persona459359-ariel-guillermo-sandez, /persona43291-claudio-pizarro, /persona213662-marcia-rivas, /persona25814-alejandro-alonso, /persona75337-victoria-castelvetri, /persona120845-jimena-del-pozo-penalva, /persona319603-emiliano-castillo, /persona382941-victoria-marechal, /persona417878-camila-scarzello",False,False
42,/obra41759-tarascones,"/persona15875-gonzalo-demaria, /persona278-paola-barrientos, /persona27013-alejandra-flechner, /persona4277-eugenia-guerty, /persona896-susana-pampin, /persona17154-magda-banach, /persona9504-cecilia-zuvialde, /persona3678-eli-sirlin, /persona1404-marcelo-katz, /persona7780-alejandra-lopez, /persona161502-agustina-filipini, /persona144367-diego-heras, /persona180476-sebastian-evangelista, /persona6508-gabriel-urbani, /persona279-monina-bonelli, /persona18807-cristian-scotton, /persona377976-cooperativa-tarascones, /persona380101-tna-tc, /persona520-ciro-zorzoli",False,False
43,/obra78475-la-traduccion-prueba-8-proyecto-pruebas,"/persona675-matias-feldman, /persona672-valeria-correa, /persona41239-maitina-de-marco, /persona21676-juan-isola, /persona3150-vanesa-maja, /persona6951-juliana-muras, /persona679-laura-paredes, /persona11926-paula-pichersky, /persona1199-luciano-suardi, /persona397874-pablo-ariel-bursztyn, /persona671-elisa-carricajo, /persona4031-pilar-gamboa, /persona21676-juan-isola, /persona59262-mariana-seropian, /persona7164-rodrigo-gonzalez-garillo, /persona1655-ricardo-sica, /persona308598-manoel-hayne, /persona29477-hernan-lewkowicz, /persona372516-lara-maria-treglia, /persona51507-diego-becker, /persona224512-martina-nosetto, /persona458245-delfina-romero-feldman, /persona2396-marcelo-mendez, /persona6866-alejandro-pellegrino, /persona227734-nacho-del-vecchio-ramos, /persona137502-mariela-lacuesta, /persona42716-santiago-carranza, /persona458246-anabella-iara-zarbo-colombo, /persona2387-lucero-margulis, /persona276403-piel-de-lava, /persona33210-juan-francisco-dasso, /persona675-matias-feldman",False,False
