nombre,urlAT,derivadas,categoríaLN
En La batalla de los ausentes,,,4
Enero,,"obra77265-camille-la-maldita,obra79298-enero,obra76288-la-noche-del-16-de-enero,obra73083-arenero,obra76443-genero-humano,obra64263-conversaciones-relaciones-de-genero-relaciones-de-clase-en-america-latina-entrevista-a-rita-segato-por-maria-odonnell-sala-maria-guerrero,obra73493-tomar-el-escenario-cuestion-de-genero-escena-en-redes-debates-con-la-comunidad-escenica-de-todo-el-pais,obra64972-cuestion-de-genero-relatos-breves,obra63303-teatro-off-shore-enero-grandes-exitos-en-matienzo,obra64288-conversaciones-de-la-fabrica-incendiada-al-techo-de-cristal-trabajo-y-desigualdad-de-genero-alianza-francesa,obra56902-filmoteca-en-vivo-presenta-un-diccionario-de-generos-y-estilos,obra54309-sueneros-presenta-destino-del-canto,obra47900-primero-enero,obra41297-genero-y-huellas,obra43977-sueneros,obra43161-lisandro-etala-y-los-gondolieris-lleva-enero-presentan-mezclados-no-revueltos,obra39458-superclasico-conjunto-de-pasiones-universales-vol-lll-tenesse-williams-en-genero-melodrama,obra38643-sueneros-pedacitos-de-agua,obra34183-mover-enero-30,obra34182-mover-enero-28,obra34181-mover-enero-27,obra34180-mover-enero-23,obra38324-superclasico-conjunto-de-pasiones-universales-vol-ii-tragedias-griegas-en-genero-western,obra27255-arenero,obra31885-musica-argentina-transgenero-federico-siksnys-ensamble-rojo,obra28781-otra-vez-enero,obra19677-generos-tierra-que-camina,obra22814-variete-de-genero,obra18052-la-guerra-del-genero,obra12425-genero-femenino,obra13893-genericas-show-fuera-de-genero,obra8917-cien-pedacitos-de-mi-arenero,obra9768-el-genero-en-disput-performance,obra12973-el-genero-en-convergencia-que-es-ser-normal,obra8102-yo-me-mando-a-mudar--soy-chaquenero-y-que,obra2913-las-nubes-van-ganando-el-cielo-variaciones-sobre-el-genero-gauchesco,obra10332-el-arenero-de-los-suenos,obra6777-enero,obra19675-generos,obra8099-soy-chaquenero-y-que,obra47850-los-amantes-generosos,obra47857-ni-amante-mas-generoso-ni-mas-constante-mujer",3
Torna amore,https://www.alternativateatral.com//obra78381-torna-amore,obra78381-torna-amore,3
Los Recortado,https://www.alternativateatral.com//obra71270-los-recortado,obra71270-los-recortado,4
El tipo,,"obra78410-el-tipo,obra63916-el-tipo-que-vino-a-la-funcion,obra79067-antonioantonia-un-encuentro-absurdo-del-tercer-tipo,obra60436-boicot-en-el-bauen-un-plan-delirante-contra-los-estereotipos-de-belleza,obra23366-stereotipos-4-una-experiencia-peligrosa,obra7531-stereotipos-en-el-aire",4
Y luego la calma,https://www.alternativateatral.com//obra78001-y-luego-la-calma,obra78001-y-luego-la-calma,4
La débil mental,,"obra79340-la-debil-mental,obra62040-la-debil-mental,obra72673-la-debil-mental-proyeccion-del-cortometraje-y-charla-con-flavia-calise,obra72816-la-debil-mental-el-cortometraje",4
El invierno del juglar,https://www.alternativateatral.com//obra77038-el-invierno-del-juglar,obra77038-el-invierno-del-juglar,4
Stéfano,,"obra66883-stefano,obra77440-stefano,obra81053-stefano,obra72595-stefano,obra59823-stefano,obra59399-stefano,obra55068-stefano,obra36928-stefano,obra29610-stefano,obra26711-stefano,obra11262-stefano,obra14536-stefano,obra19028-stefano,obra22437-stefano,obra10601-stefano,obra6356-stefano,obra12562-stefano,obra8422-stefano,obra8407-stefano,obra6388-stefano,obra5609-stefano,obra10863-stefano,obra44517-stefano,obra44523-stefano,obra10295-stefano,obra10079-stefano,obra58014-ga-destefano-presenta-epilogoprologo,obra60263-plateado-sobre-plateado-presenta-a-ga-destefano-pablo-sciuto,obra48903-bylpa-gabriel-destefano-inv-fakas-y-los-clones,obra53928-bidegain-y-los-psicopatas-ambulantes-ga-destefano,obra51676-ciclo-habra-musica-3-edicion-pepo-bocconi-gabriel-destefano-fecha-8,obra6727-proyecto-stefano,obra6675-relojero-y-stefano,obra6674-stefano,obra28805-stefano",4
Otros tiempos,,"obra78556-otros-tiempos,obra42045-70-juegos-de-otros-tiempos,obra16144-de-cielos-y-otros-tiempos,obra9475-otros-tiempos-de-vivir,obra52134-eran-cosas-de-otros-tiempos",2
